"","GEOID","Domain","Index","Number","Percent","NAMELSAD","COUNTYFP","CountyName","Ordering","Label"
"1","51029930202","density","norm",0,"17.8 ppl/sq. mi.","Tract 9302.02","029","Buckingham",1,"Population Density"
"2","51029930202","room15","norm",0.09,"0.2% Households","Tract 9302.02","029","Buckingham",1,">1.5 Ppl/Room"
"3","51029930202","nocar","norm",0.34,"9.4% Households","Tract 9302.02","029","Buckingham",1,"No Car Access"
"4","51029930202","und18","norm",0.3,"38.9% Families","Tract 9302.02","029","Buckingham",1,"Children Present"
"5","51029930202","nobb","norm",0.75,"36.8% Households","Tract 9302.02","029","Buckingham",1,"No Broadband"
"6","51029930202","nofood","norm",0.02,"99.02% Households","Tract 9302.02","029","Buckingham",1,"Low Food Access"
"7","51029930202","index","norm",1.5,"NA","Tract 9302.02","029","Buckingham",1,"Composite Score"
"8","51029930201","density","norm",0,"56.4 ppl/sq. mi.","Tract 9302.01","029","Buckingham",1,"Population Density"
"9","51029930201","room15","norm",0.86,"1.9% Households","Tract 9302.01","029","Buckingham",1,">1.5 Ppl/Room"
"10","51029930201","nocar","norm",0.2,"5.5% Households","Tract 9302.01","029","Buckingham",1,"No Car Access"
"11","51029930201","und18","norm",0.34,"40.8% Families","Tract 9302.01","029","Buckingham",1,"Children Present"
"12","51029930201","nobb","norm",0.86,"41.9% Households","Tract 9302.01","029","Buckingham",1,"No Broadband"
"13","51029930201","nofood","norm",0.09,"99.09% Households","Tract 9302.01","029","Buckingham",1,"Low Food Access"
"14","51029930201","index","norm",2.36,"NA","Tract 9302.01","029","Buckingham",1,"Composite Score"
"15","51029930102","density","norm",0,"33.6 ppl/sq. mi.","Tract 9301.02","029","Buckingham",1,"Population Density"
"16","51029930102","room15","norm",0,"0% Households","Tract 9301.02","029","Buckingham",1,">1.5 Ppl/Room"
"17","51029930102","nocar","norm",0.16,"4.4% Households","Tract 9301.02","029","Buckingham",1,"No Car Access"
"18","51029930102","und18","norm",0.28,"37.5% Families","Tract 9301.02","029","Buckingham",1,"Children Present"
"19","51029930102","nobb","norm",0.98,"47.3% Households","Tract 9301.02","029","Buckingham",1,"No Broadband"
"20","51029930102","nofood","norm",0,"99% Households","Tract 9301.02","029","Buckingham",1,"Low Food Access"
"21","51029930102","index","norm",1.42,"NA","Tract 9301.02","029","Buckingham",1,"Composite Score"
"22","51029930101","density","norm",0,"28.6 ppl/sq. mi.","Tract 9301.01","029","Buckingham",1,"Population Density"
"23","51029930101","room15","norm",0.36,"0.8% Households","Tract 9301.01","029","Buckingham",1,">1.5 Ppl/Room"
"24","51029930101","nocar","norm",0.16,"4.5% Households","Tract 9301.01","029","Buckingham",1,"No Car Access"
"25","51029930101","und18","norm",0.17,"31.5% Families","Tract 9301.01","029","Buckingham",1,"Children Present"
"26","51029930101","nobb","norm",0.78,"38.2% Households","Tract 9301.01","029","Buckingham",1,"No Broadband"
"27","51029930101","nofood","norm",0,"99% Households","Tract 9301.01","029","Buckingham",1,"Low Food Access"
"28","51029930101","index","norm",1.48,"NA","Tract 9301.01","029","Buckingham",1,"Composite Score"
"29","51003011400","density","norm",0,"45.1 ppl/sq. mi.","Tract 114","003","Albemarle",2,"Population Density"
"30","51003011400","room15","norm",0.55,"1.2% Households","Tract 114","003","Albemarle",2,">1.5 Ppl/Room"
"31","51003011400","nocar","norm",0.09,"2.6% Households","Tract 114","003","Albemarle",2,"No Car Access"
"32","51003011400","und18","norm",0.43,"45.8% Families","Tract 114","003","Albemarle",2,"Children Present"
"33","51003011400","nobb","norm",0.64,"31.6% Households","Tract 114","003","Albemarle",2,"No Broadband"
